#No,Talker,Help,Face,BackGround,Music,SE,Text,Action(立ち絵など背景の前に出す画像。現在は4つまで)
0,-1,-1,-1,0,-1,-1,......,-1
0,-1,-1,-1,0,-1,-1,............,-1
0,-1,-1,-1,world.png,0,-1,..................,-1
0,-1,-1,-1,world.png,0,-1,第一参謀本部長が提督を訪れた。,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「どうかしました？」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「アレを」,-1
0,-1,-1,-1,world.png,0,-1,提督のお付きが何かを持ってきた。,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「グラッチ……帝国のアッパークラス向けのチョット良いお酒ですね。これが？」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「これが……敵の指揮官の死体から出てきた」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「！」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「つまり、向こうの兵站は充実しているということだ。それを伝えようとしたんだ」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「……大丈夫。消耗戦にはしません」,-1
0,-1,-1,-1,world.png,0,-1,────────────\n────────,-1
end,-1,-1,-1,world.png,0,-1,,-1
