#No,Talker,Help,Face,BackGround,Music,SE,Text,Action(立ち絵など背景の前に出す画像。現在は4つまで)
0,-1,-1,-1,0,-1,-1,......,-1
0,-1,-1,-1,0,-1,-1,............,-1
0,-1,-1,-1,world.png,0,-1,..................,-1
0,-1,-1,-1,world.png,0,-1,行軍中にて、提督が馬を走らせてロイドの元へやって来た。,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「ロイル、進軍速度が速すぎるんじゃないか？　あと一週間は到着を遅らせても平気なんだぞ」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「え？　しかし前線の兵が飢える可能性が上昇しますが」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「確かに。しかしなあ、我々は時間を稼げば稼ぐほど安全なんだぞ」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「そりゃそうですが。では兵に苦労させますか？」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「……つまらん。つまらん。ええい、勝つだけならこんな面倒ではないのだが」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「では良いニュースを。帝国の影響外にある国に接近して新しい身分を手に入れる目途が立っています」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「悪いニュースは？」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「ありません。私は有能ですから」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「まあお前が言うなら。しかし、有能過ぎて準備が終わる前に戦争を終わらせることのないように」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「承知です。ほら、帰った帰った」,-1
0,-1,-1,-1,world.png,0,-1,提督はどこかむっとした雰囲気で、その場を離れた。,-1
0,-1,-1,-1,world.png,0,-1,────────────\n────────,-1
end,-1,-1,-1,world.png,0,-1,,-1
