#No,Talker,Help,Face,BackGround,Music,SE,Text,Action(立ち絵など背景の前に出す画像。現在は4つまで)
0,-1,-1,-1,0,-1,-1,......,-1
0,-1,-1,-1,0,-1,-1,............,-1
0,-1,-1,-1,world.png,0,-1,..................,-1
0,-1,-1,-1,world.png,0,-1,敵に包囲された。,-1
0,-1,-1,-1,world.png,0,-1,それでつい、提督は酒を飲んでみた。,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「おいしいですか？」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「チョコの風味がある。珍しい酒と聞いたが、これほどとはな」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「……で、今回は私が策を考えますか？」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「……任せる」,-1
0,-1,-1,-1,world.png,0,-1,ロイルは自陣に穴を開けた。,-1
0,-1,-1,-1,world.png,0,-1,案の定、敵は穴を攻めた。,-1
0,-1,-1,-1,world.png,0,-1,弱い所を攻める。基本である。,-1
0,-1,-1,-1,world.png,0,-1,それを見越して、穴に爆薬をロイルは仕掛けた。,-1
0,-1,-1,-1,world.png,0,-1,案の定、敵は主力を失った。,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「つまらん」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「はい？」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「お前がいるなら必ず勝つ。だからつまらん」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「負けてみましょうか？」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「それもどうせ、次の戦いの布石になる。つまらん」,-1
0,-1,-1,-1,world.png,0,-1,提督はだいぶ、酔っているらしかった。,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「ロイル！」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「はいはい。ここにいますよ」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「お前……世界を舐めてるだろ」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「説教ですか？」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「んー……私のキャラではないな。ロイル！」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「はいはい」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「沢庵漬けだ！　食え！」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「もぐもぐ」,-1
0,-1,-1,-1,world.png,0,-1,翌日、提督はだいぶ機嫌が良かった。,-1
0,-1,-1,-1,world.png,0,-1,────────────\n────────,-1
end,-1,-1,-1,world.png,0,-1,,-1
