#No,Talker,Help,Face,BackGround,Music,SE,Text,Action(立ち絵など背景の前に出す画像。現在は4つまで)
0,-1,-1,-1,0,-1,-1,......,-1
0,-1,-1,-1,0,-1,-1,............,-1
0,-1,-1,-1,world.png,0,-1,..................,-1
0,-1,-1,-1,world.png,0,-1,戦争が終わった。所詮、小さな出来事である。帝国の版図を僅かに広げただけ。,-1
0,-1,-1,-1,world.png,0,-1,ロイルと提督はひっそりと野営地を後にした。,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「もはや老後でしょう。趣味でも見つけますか？」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「ん……釣りがしたいかもしれない」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「提督が釣りをするなら私も釣りをします」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「そうか。……あれだ。マグロを釣りたい」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「え？　さすがにそれは大きいのでは？」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「そうだよな……ではカニでも釣るか」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「まあその程度なら良いでしょう。では落ち着いたら北方に旅行でもしましょうか？」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「カニと言えば北方なのか？」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「恐らく」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「では途中で羊毛の手袋でも買っていこう」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「私は靴下も買います」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「それも良いな……なんだか楽しくなってきたな。しばらく人殺ししかしていなかった。ようやく私の人生だ。そうだろう？」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「そうですね。地酒も飲みましょう」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「うん……生ハムバジルのサラダポテトを食べながら……」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「お疲れ様でした。提督」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「うん……」,-1
0,-1,-1,-1,world.png,0,-1,────────────\n────────,-1
end,-1,-1,-1,world.png,0,-1,,-1
