#No,Talker,Help,Face,BackGround,Music,SE,Text,Action(立ち絵など背景の前に出す画像。現在は4つまで)
0,-1,-1,-1,0,-1,-1,......,-1
0,-1,-1,-1,0,-1,-1,............,-1
0,-1,-1,-1,world.png,0,-1,..................,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「──まだ敵は主力を温存しているのか。ヤイバ王国とやらの首都は近いんだろ？」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「どうせ兵站が伸び切って強度が弱くなった頃に一斉攻撃とかそういうノリですよ。傀儡機構は正しいことしか言いませんからね。わかりますよ」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「そうか……向こうの出方がわかっているなら良い」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「はい。まあそういうわけで、近いうちに決戦が発生するかもですね」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「了解した」,-1
0,-1,-1,-1,world.png,0,-1,所変わって。,-1
0,マベート・ロレーシー,-1,face003.png,world.png,0,-1,「お兄さん。最近は砲丸を節約しろって。結構な量があるのに」,-1
0,ジョディアン・ロレーシー,-1,face002.png,world.png,0,-1,「それは……勝負に備えているのかもしれないな」,-1
0,マベート・ロレーシー,-1,face003.png,world.png,0,-1,「今までは勝負じゃないんですか」,-1
0,ジョディアン・ロレーシー,-1,face002.png,world.png,0,-1,「まあ……正直、お遊びくらいのものだったろう」,-1
0,マベート・ロレーシー,-1,face003.png,world.png,0,-1,「はい？　前線はそんな感触なんですか」,-1
0,ジョディアン・ロレーシー,-1,face002.png,world.png,0,-1,「優秀な火力担当がいるからね」,-1
0,マベート・ロレーシー,-1,face003.png,world.png,0,-1,「……まあ良いでしょう」,-1
0,-1,-1,-1,world.png,0,-1,────────────\n────────,-1
end,-1,-1,-1,world.png,0,-1,,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「」,-1
0,ジョディアン・ロレーシー,-1,face002.png,world.png,0,-1,「」,-1
0,マベート・ロレーシー,-1,face003.png,world.png,0,-1,「」,-1
0,-1,-1,-1,world.png,0,-1,,-1
