#No,Talker,Help,Face,BackGround,Music,SE,Text,Action(立ち絵など背景の前に出す画像。現在は4つまで)
0,-1,-1,-1,0,-1,-1,......,-1
0,-1,-1,-1,0,-1,-1,............,-1
0,-1,-1,-1,world.png,0,-1,..................,-1
0,-1,-1,-1,world.png,0,-1,清々しい夜だ。,-1
0,-1,-1,-1,world.png,0,-1,決戦を間近に控えた、満点の夜。,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「提督……帝王はどこにでもいる、ってなんなんでしょうね」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「急にどうした……？」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「いや、ふと思っただけなんです。本当に帝王が神出鬼没なら、私たちの亡命もばれているかもしれない」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「帝王陛下には一度、会ったことがある」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「！」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「お優しい陛下だ。何かするなら、警告くらいはしてくださるさ」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「……亡命先候補はいくつかあります。北方、南国、オリーブの園」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「うん……考えておく」,-1
0,-1,-1,-1,world.png,0,-1,────────────\n────────,-1
end,-1,-1,-1,world.png,0,-1,,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「」,-1
0,ジョディアン・ロレーシー,-1,face002.png,world.png,0,-1,「」,-1
0,マベート・ロレーシー,-1,face003.png,world.png,0,-1,「」,-1
0,-1,-1,-1,world.png,0,-1,,-1
