#No,Talker,Help,Face,BackGround,Music,SE,Text,Action(立ち絵など背景の前に出す画像。現在は4つまで)
0,-1,-1,-1,0,-1,-1,......,-1
0,-1,-1,-1,0,-1,-1,............,-1
0,-1,-1,-1,world.png,0,-1,..................,-1
0,-1,-1,-1,world.png,0,-1,行軍中の出来事である。,-1
0,-1,-1,-1,world.png,0,-1,ロイルと提督は泉の側に近づいた,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「これがどうかしましたか？」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「この世の果てにあると聞かされて育った」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「これが？　……へえ」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「お前はあと何歩、歩ける？」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「行軍を8時間するとします。1秒間に3歩とします。1分間に180歩、1時間に10800歩、つまり1日86400歩。365日1年間で31536000歩」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「あと80年生きるとして、2522880000歩です。提督」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「図々しいやつだ。あと80年も生きるというのか。しかも従軍し続けるだと」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「そういうやつであるからして、良い策というものが浮かびます」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「……2522880000歩。それだけ歩けたら、この世の果てまで歩めるか？」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「私の計算ではこの世界を20周は出来ます」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「20周。この世界は案外、つまらないものだな」,-1
0,ヴィクトーディ・ロイル,-1,face001.png,world.png,0,-1,「狭いと言いたいのですか」,-1
0,アーベル・イリイホーン,-1,face000.png,world.png,0,-1,「うむ……」,-1
0,-1,-1,-1,world.png,0,-1,────────────\n────────,-1
end,-1,-1,-1,world.png,0,-1,,-1
